x,y,name
12990.3484657,248.690158791,'Asociación Española de Normalización y Certificación'
8538.08943979,-2113.86094028,'Botiga Decathlon *Illa Diagonal'
10055.0498059,-3454.6013202,'Botiga Samsonite España'
9702.9529553,-2639.55977567,'PICIS RESEARCH'
14506.4431386,-2213.43009366,'Procter Gamble España S.A.'
10876.634572,-6.1901601403,'Look and Design Society S.L.'
10290.8260907,-1696.31925621,'Bodegas Bilbainas'
10675.3109049,-618.076806902,'Rovellats S.A.'
11252.1068869,-199.012243901,'Watch Celona S.L.'
8994.48877883,-1491.96046535,'Molí Vell *Oficina comercial'
9476.09835531,-1830.26450423,'Accessoria Selecta S.L.'
8211.3732442,-660.390662791,'Leroy Merlin *Oficines'
9427.353744,-1735.53898968,'El Corte Ingles *Plaça Francesc Macià'
8111.72727183,-2781.02169307,'La Llave de Oro'
9476.09835531,-1830.26450423,'Genesse Hispania S.L.'
10239.6359884,-967.449483598,'Empresa Grup Balañà'
-68791.2184918,38058.6424563,'Comercial Grup Freixenet S.A.'
14722.4411017,-2436.15290426,'Marina Laif S.L.'
10241.0238714,0.993431880357,"'Escofet 1886, S.A.'"
-68791.2184918,38058.6424563,"'Affinity Petcar, S.A.'"
11008.2016305,-1288.17982362,'Tarre i Miró s.l.'
12342.4343601,1263.93891506,'Deltametal S.L.'
8754.75077225,-2001.09633617,'Nintendo España'
14225.3914166,835.16192959,'Montblanc Art de Vivre España'
10988.8612999,-728.594280656,'Pelikan S.A.'
8288.7918424,-2397.17999192,'Unichips España S.A.'
9181.45548563,-2342.20002317,'Productos Palex S.A.'
8949.74585536,-1549.99806904,'Fidelcolor *Oficines'
9661.91179514,-556.311951143,'Materiales y productos Rocalla S.A.'
8976.79633476,-1644.98481207,'Societat Cooperativa SCIAS'
7767.33295443,-1521.9033108,'Herbalife Internacional de España'
12356.6287677,624.80953043,'Bel Shanabel'
7676.25770786,-2394.95183708,'Bull España S.A.'
8538.27523105,-2113.68219979,'Empresa Solvay Química'
10509.1505729,-116.895267821,'Unigraphics Solutions España'
10032.4587921,-1786.56334311,'Eckes - Granini Ibérica S.A.'
8868.13902732,-576.764228724,'Eurogourmet Comercial de Coloniales'
9716.90841884,-872.683584316,'Moscoso Sanchez S.C.P.'
8538.27523105,-2113.68219979,'Empresa Solvay Benvic Ibérica'
8101.86316141,-2348.4856577,'Levi Strauss de España *Oficines'
10452.6201731,369.762236223,'El Corte Inglés *Avinguda Portal de l'Àngel'
8179.4433936,-912.860660602,'Mapa Spontex España S.A.'
6364.70640235,681.248401392,'Philips Ibèrica *Passeig Zona Franca'
10123.2111655,-3386.30744107,'Lumelco s.a'
8754.57347804,-2001.26715259,"'Logitech España, S. A.'"
8207.92458981,-1450.19610442,'Llongueras Perruquers *Oficines'
10805.4220961,-1166.90392041,'Grupo Vichy Catalan s.a.'
11821.2833071,-466.821266496,'Vorwerk España *Consell de Cent'
14929.2847731,-3195.09896373,'Empresa Cinesa'
9888.07373998,2116.1325479,'Agilent Technologies *World Trade Center'
14928.6053431,1279.51464339,'Empresa Bimbo'
11066.848092,1127.33010082,'Empresa Bcnfarma Distribución y Almacenaje de Medicamentos'
14928.6053431,1279.51464339,'Empresa Sara Lee'
9105.9775336,-2107.92322421,'Empresa Lavazza'
9539.56906893,-1827.80106356,'Nuovi Piatti'
